Plot Title: B01 Mesa Top,,,,,
RID,Date,Time,Event,Details1,Details2
381,8/25/2013,06:25.0,8303,,
382,8/25/2013,33:58.0,8304,,
383,8/25/2013,36:48.5,8305,,
384,8/25/2013,23:07.0,8306,,
385,8/25/2013,32:27.5,8307,,
386,8/25/2013,41:37.5,8308,,
387,8/25/2013,51:26.0,8309,,
388,8/25/2013,55:24.5,8310,,
389,8/25/2013,58:28.5,8311,,
390,8/25/2013,04:05.5,8312,,
391,8/25/2013,13:25.5,8313,,
392,8/25/2013,16:55.5,8314,,
393,8/25/2013,21:40.0,8315,,
394,8/25/2013,24:16.5,8316,,
395,8/25/2013,26:09.0,8317,,
396,8/25/2013,34:05.5,8318,,
397,8/25/2013,47:35.0,8319,,
398,8/25/2013,41:30.5,8320,,
399,8/25/2013,37:00.0,8321,,
400,8/26/2013,03:42.0,8322,,
401,8/26/2013,13:01.0,8323,,
402,8/26/2013,57:25.5,8324,,
403,8/26/2013,31:26.0,8325,,
404,8/26/2013,49:38.0,8326,,
405,8/26/2013,32:28.5,8327,,
406,8/26/2013,45:10.0,8328,,
407,8/26/2013,47:09.0,8329,,
408,8/26/2013,47:58.5,8330,,
409,8/26/2013,48:18.5,8331,,
410,8/26/2013,48:46.0,8332,,
411,8/26/2013,49:33.5,8333,,
412,8/26/2013,50:17.5,8334,,
413,8/26/2013,50:41.5,8335,,
414,8/26/2013,51:19.0,8336,,
415,8/26/2013,52:12.5,8337,,
416,8/26/2013,52:30.5,8338,,
417,8/26/2013,52:52.5,8339,,
418,8/26/2013,53:42.5,8340,,
419,8/26/2013,54:36.0,8341,,
420,8/26/2013,55:16.0,8342,,
421,8/26/2013,14:59.5,8343,,
422,8/26/2013,11:45.5,8344,,
423,8/26/2013,13:03.5,8345,,
424,8/26/2013,19:45.5,8346,,
425,8/26/2013,39:03.0,8347,,
426,8/26/2013,43:47.5,8348,,
427,8/26/2013,47:40.0,8349,,
428,8/26/2013,53:19.5,8350,,
429,8/26/2013,10:12.0,8351,,
430,8/26/2013,10:33.0,8352,,
431,8/26/2013,11:06.0,8353,,
432,8/26/2013,11:32.5,8354,,
433,8/26/2013,12:06.0,8355,,
434,8/26/2013,13:25.0,8356,,
435,8/26/2013,14:00.5,8357,,
436,8/26/2013,15:01.0,8358,,
437,8/26/2013,15:57.5,8359,,
438,8/26/2013,16:34.0,8360,,
439,8/26/2013,17:09.0,8361,,
440,8/26/2013,18:00.0,8362,,
441,8/26/2013,18:36.5,8363,,
442,8/26/2013,18:57.5,8364,,
443,8/26/2013,19:24.5,8365,,
444,8/26/2013,19:52.5,8366,,
445,8/26/2013,20:21.5,8367,,
446,8/26/2013,20:54.0,8368,,
447,8/26/2013,21:27.5,8369,,
448,8/26/2013,22:05.5,8370,,
449,8/26/2013,23:11.0,8371,,
450,8/26/2013,24:23.0,8372,,
451,8/26/2013,25:52.0,8373,,
452,8/26/2013,28:07.0,8374,,
453,8/26/2013,36:07.5,8375,,
454,8/26/2013,47:40.0,8376,,
455,8/27/2013,24:28.0,8377,,
456,8/27/2013,25:18.5,8378,,
457,8/27/2013,25:56.0,8379,,
458,8/27/2013,32:10.5,8380,,
459,8/27/2013,03:13.5,8381,,
460,8/27/2013,04:45.5,8382,,
461,8/27/2013,12:22.0,8383,,
462,8/27/2013,15:32.5,8384,,
463,8/31/2013,23:49.0,8385,,
464,8/31/2013,24:43.5,8386,,
465,8/31/2013,25:46.0,8387,,
466,8/31/2013,26:50.0,8388,,
467,8/31/2013,27:59.5,8389,,
468,8/31/2013,29:13.5,8390,,
469,8/31/2013,29:49.5,8391,,
470,8/31/2013,30:17.0,8392,,
471,8/31/2013,30:37.0,8393,,
472,8/31/2013,30:54.0,8394,,
473,8/31/2013,31:14.5,8395,,
474,8/31/2013,31:34.0,8396,,
475,8/31/2013,31:59.5,8397,,
476,8/31/2013,32:27.0,8398,,
477,8/31/2013,32:59.5,8399,,
478,8/31/2013,33:31.5,8400,,
479,8/31/2013,34:04.0,8401,,
480,8/31/2013,35:04.5,8402,,
481,8/31/2013,36:28.5,8403,,
482,8/31/2013,37:10.5,8404,,
483,8/31/2013,37:39.5,8405,,
484,8/31/2013,37:51.5,8406,,
485,8/31/2013,38:00.5,8407,,
486,8/31/2013,38:09.0,8408,,
487,8/31/2013,38:20.0,8409,,
488,8/31/2013,38:32.5,8410,,
489,8/31/2013,38:41.5,8411,,
490,8/31/2013,38:50.0,8412,,
491,8/31/2013,39:02.5,8413,,
492,8/31/2013,39:18.0,8414,,
493,8/31/2013,39:34.5,8415,,
494,8/31/2013,39:56.5,8416,,
495,8/31/2013,40:17.0,8417,,
496,8/31/2013,40:23.0,8418,,
497,8/31/2013,40:29.0,8419,,
498,8/31/2013,40:34.5,8420,,
499,8/31/2013,40:41.5,8421,,
500,8/31/2013,40:47.0,8422,,
501,8/31/2013,40:52.5,8423,,
502,8/31/2013,40:59.0,8424,,
503,8/31/2013,41:05.0,8425,,
504,8/31/2013,41:13.0,8426,,
505,8/31/2013,41:23.5,8427,,
506,8/31/2013,41:42.5,8428,,
507,8/31/2013,42:20.0,8429,,
508,8/31/2013,43:47.5,8430,,
509,8/31/2013,45:22.5,8431,,
510,8/31/2013,46:22.5,8432,,
511,8/31/2013,47:42.0,8433,,
512,8/31/2013,48:37.5,8434,,
513,8/31/2013,50:54.0,8435,,
514,8/31/2013,52:21.0,8436,,
515,9/1/2013,28:41.5,8437,,
516,9/3/2013,53:20.0,8438,,
517,9/3/2013,01:28.5,8439,,
518,9/3/2013,04:58.0,8440,,
519,9/8/2013,33:48.0,8441,,
520,9/8/2013,43:12.5,8442,,
521,9/8/2013,56:32.5,8443,,
522,9/8/2013,08:32.0,8444,,
523,9/8/2013,40:24.0,8445,,
524,9/9/2013,56:52.0,8446,,
525,9/9/2013,13:26.0,8447,,
526,9/9/2013,16:50.5,8448,,
527,9/9/2013,22:02.0,8449,,
528,9/9/2013,29:15.0,8450,,
529,9/9/2013,33:37.5,8451,,
530,9/9/2013,36:18.5,8452,,
531,9/9/2013,40:53.0,8453,,
532,9/9/2013,44:19.5,8454,,
533,9/9/2013,48:27.0,8455,,
534,9/9/2013,54:00.5,8456,,
535,9/9/2013,58:09.0,8457,,
536,9/9/2013,01:34.5,8458,,
537,9/9/2013,09:37.5,8459,,
538,9/9/2013,13:35.5,8460,,
539,9/9/2013,17:46.0,8461,,
540,9/9/2013,19:30.5,8462,,
541,9/9/2013,21:20.5,8463,,
542,9/9/2013,22:22.5,8464,,
543,9/9/2013,26:16.5,8465,,
544,9/9/2013,32:46.0,8466,,
545,9/9/2013,49:14.5,8467,,
546,9/9/2013,03:43.0,8468,,
547,9/9/2013,05:26.0,8469,,
548,9/9/2013,06:17.0,8470,,
549,9/9/2013,06:33.5,8471,,
550,9/9/2013,06:49.5,8472,,
551,9/9/2013,07:04.0,8473,,
552,9/9/2013,07:20.0,8474,,
553,9/9/2013,07:40.5,8475,,
554,9/9/2013,08:00.5,8476,,
555,9/9/2013,08:24.5,8477,,
556,9/9/2013,08:49.0,8478,,
557,9/9/2013,09:32.5,8479,,
558,9/9/2013,10:13.0,8480,,
559,9/9/2013,11:02.0,8481,,
560,9/9/2013,11:51.0,8482,,
561,9/9/2013,12:44.0,8483,,
562,9/9/2013,14:01.0,8484,,
563,9/9/2013,15:56.5,8485,,
564,9/9/2013,21:20.5,8486,,
565,9/9/2013,23:25.5,8487,,
566,9/9/2013,24:35.0,8488,,
567,9/9/2013,25:28.5,8489,,
568,9/9/2013,26:32.0,8490,,
569,9/9/2013,27:55.0,8491,,
570,9/9/2013,28:33.5,8492,,
571,9/9/2013,29:26.5,8493,,
572,9/9/2013,30:16.0,8494,,
573,9/9/2013,30:59.5,8495,,
574,9/9/2013,32:11.0,8496,,
575,9/9/2013,33:14.5,8497,,
576,9/9/2013,33:47.5,8498,,
577,9/9/2013,34:24.0,8499,,
578,9/9/2013,35:06.0,8500,,
579,9/9/2013,35:57.5,8501,,
580,9/9/2013,37:19.0,8502,,
581,9/9/2013,38:22.5,8503,,
582,9/9/2013,39:01.0,8504,,
583,9/9/2013,39:23.5,8505,,
584,9/9/2013,39:44.5,8506,,
585,9/9/2013,40:04.5,8507,,
586,9/9/2013,40:26.5,8508,,
587,9/9/2013,40:56.5,8509,,
588,9/9/2013,42:01.0,8510,,
589,9/9/2013,44:11.0,8511,,
590,9/9/2013,46:25.0,8512,,
591,9/9/2013,48:48.5,8513,,
592,9/9/2013,50:32.5,8514,,
593,9/9/2013,51:46.0,8515,,
594,9/9/2013,52:34.5,8516,,
595,9/9/2013,53:09.5,8517,,
596,9/9/2013,53:46.5,8518,,
597,9/9/2013,54:28.5,8519,,
598,9/9/2013,55:04.0,8520,,
599,9/9/2013,56:07.5,8521,,
600,9/9/2013,02:26.0,8522,,
601,9/9/2013,13:49.5,8523,,
602,9/9/2013,28:31.5,8524,,
603,9/9/2013,40:11.5,8525,,
604,9/9/2013,45:08.0,8526,,
